id,pop,lat,long,species,lineage,Taxon,tissues,note,include,reduce,river,region,phylo_label
NEOoratippra.1,Ooratippra,-22.36031,135.65668,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Georgina,LEB,NEOoratippra.1_LEB_Georgina
NEOoratippra.2,Ooratippra,-22.36031,135.65668,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Georgina,LEB,NEOoratippra.2_LEB_Georgina
NEMacumba.1,Macumba,-27.197167,135.716889,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Macumba,LEB,NEMacumba.1_LEB_Macumba
NEMacumba.2,Macumba,-27.197167,135.716889,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Macumba,LEB,NEMacumba.2_LEB_Macumba
NEPeake.1,Peake,-28.035194,135.801861,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Neales,LEB,NEPeake.1_LEB_Neales
NEPeake.2,Peake,-28.035194,135.801861,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Neales,LEB,NEPeake.2_LEB_Neales
NEStewart.1,Stewart,-27.688639,135.381972,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Neales,LEB,NEStewart.1_LEB_Neales
NEStewart.2,Stewart,-27.688639,135.381972,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Neales,LEB,NEStewart.2_LEB_Neales
NELeichhardtFalls.1,LeichhardtFalls,-18.221556,139.877111,NE,Northern,richardsoni,yes,NA,include,include,Leichhardt,Gulf,NELeichhardtFalls.1_Leichhardt
NELeichardtFalls.2,LeichhardtFalls,-18.221556,139.877111,NE,Northern,richardsoni,yes,NA,include,include,Leichhardt,Gulf,NELeichardtFalls.2_Leichhardt
NELiverpool.1,Liverpool,-12.352083,134.110917,NE,Northern,richardsoni,yes,coordinates guessed,include,include,Liverpool,ARNH,NELiverpool.1_Liverpool
NEMann.1,Mann,-12.36,134.132,NE,Northern,richardsoni,yes,NA,include,include,Mann,ARNH,NEMann.1_Mann
NEMann.2,Mann,-12.36,134.132,NE,Northern,richardsoni,yes,NA,include,include,Mann,ARNH,NEMann.2_Mann
NCExmouth.1,vlaminghi,-22.394056,114.269583,NV,delete,vlaminghi,yes,NA,include,include,marine,marine,NCExmouth.1_marine
NCExmouth.2,vlaminghi,-22.394056,114.269583,NV,delete,vlaminghi,yes,NA,include,include,marine,marine,NCExmouth.2_marine
NCGarrthalala.1,come,-12.7619,136.56633,NC,delete,come,yes,NA,include,include,marine,marine,NCGarrthalala.1_marine
NCGarrthalala.2,come,-12.7619,136.56633,NC,delete,come,yes,NA,include,include,marine,marine,NCGarrthalala.2_marine
NCManingrida.1,come,-12.033,134.253,NC,delete,come,yes,NA,include,include,marine,marine,NCManingrida.1_marine
NE09114.1,PU09114,-26.3335,152.70434,NE,East_Coast,erebi,yes,NA,include,include,Mary_QLD,SEQ,NE09114.1_Mary_QLD
NE09110.1,PU09110,-26.3853,152.92937,NE,East_Coast,erebi,yes,NA,include,include,Mary_QLD,SEQ,NE09110.1_Mary_QLD
NE09110.2,PU09110,-26.3853,152.92937,NE,East_Coast,erebi,yes,NA,include,include,Mary_QLD,SEQ,NE09110.2_Mary_QLD
NE1765.1,PU1765,-25.55241324,152.6022457,NE,East_Coast,erebi,yes,NA,include,include,Mary_QLD,SEQ,NE1765.1_Mary_QLD
NE1765.2,PU1765,-25.55241324,152.6022457,NE,East_Coast,erebi,yes,NA,include,include,Mary_QLD,SEQ,NE1765.2_Mary_QLD
NEMcArthur.1,McArthur,-16.068,136.312,NE,Northern,richardsoni,yes,NA,include,include,McArthur,Gulf,NEMcArthur.1_McArthur
NE1608.5a,PU1608,-33.20127608,146.4523129,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Lachlan,MDB,NE1608.5a_MDB_Lachlan
NE1608.1,PU1608,-33.20127608,146.4523129,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Lachlan,MDB,NE1608.1_MDB_Lachlan
NE1608.2,PU1608,-33.20127608,146.4523129,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Lachlan,MDB,NE1608.2_MDB_Lachlan
NE1608.3,PU1608,-33.20127608,146.4523129,NE,MDB_LEB,richardsoni,yes,NA,include,include,MDB_Lachlan,MDB,NE1608.3_MDB_Lachlan
